City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Isangel,VU,2021-03-04 06:07:38,-19.55,169.2667,80.51,84,91,19.84
273,Ahuimanu,US,2021-03-04 06:07:39,21.4447,-157.8378,71.6,68,75,16.11
274,Lincoln,US,2021-03-04 06:04:37,40.8,-96.667,46.99,75,1,4.25
275,Itoman,JP,2021-03-04 06:07:42,26.1247,127.6694,73.4,64,40,17.27
276,Parbhani,IN,2021-03-04 06:07:43,19.2667,76.7833,86.0,26,0,2.3
277,Deniliquin,AU,2021-03-04 06:07:45,-35.5333,144.9667,79.0,37,0,1.99
278,Manggar,ID,2021-03-04 06:07:46,-2.8833,108.2667,86.79,62,67,4.61
279,Colares,PT,2021-03-04 06:07:47,38.7992,-9.4469,57.99,85,100,15.73
280,Sola,VU,2021-03-04 06:07:49,-13.8833,167.55,78.12,89,100,19.22
281,Chuy,UY,2021-03-04 06:07:50,-33.6971,-53.4616,71.29,93,59,8.81
282,Ketchikan,US,2021-03-04 06:07:51,55.3422,-131.6461,37.4,100,90,12.66
283,Hackettstown,US,2021-03-04 06:07:52,40.854,-74.8291,32.0,86,63,4.32
284,Kaya,BF,2021-03-04 06:07:53,13.0917,-1.0844,76.12,18,0,8.72
285,Sulina,RO,2021-03-04 06:07:54,45.1559,29.6536,42.3,81,0,14.92
286,Srandakan,ID,2021-03-04 06:07:55,-7.9386,110.2506,86.09,66,79,9.31
287,Buraydah,SA,2021-03-04 06:07:56,26.326,43.975,68.0,60,0,8.05
288,Dalvik,IS,2021-03-04 06:07:57,65.9702,-18.5286,30.2,86,0,9.01
289,Marystown,CA,2021-03-04 06:07:58,47.1666,-55.1483,25.52,95,99,24.67
290,Cockburn Town,TC,2021-03-04 06:07:50,21.4612,-71.1419,77.11,80,0,12.82
291,Puro,PH,2021-03-04 06:08:01,12.4841,123.3827,84.52,68,17,13.6
